Name,ReleaseDate,Rating,Function,Meaning,Storytelling,Form,Cinematography,Acting,Effort,Fun,Cry,Genre,Runtime
Knives Out,2019,7.3,5,4.8,5.3,3.53,0.8,4.7,5.5,7,9,Thriller,131
The Batman,2022,6.7,5.38,2.5,9.7,3.23,5.4,2.3,5.7,1.9,5.3,Thriller,176
her,2013,6.8,7.06,7.1,7,7.91,9.1,7.4,5.9,0.9,0.7,Romantic,126
Decision to Leave,2022,8.7,5.3,6.1,4.1,2.33,4.5,1.4,3.7,5.2,2.2,Thriller,138
Call Me by Your Name,2017,8.3,5.1,7.9,0.9,7.09,3.8,8.5,4.7,2.1,3.7,Romantic,130
Lord of the Rings: Fellowship of the Ring,2001,8.1,8.06,9.3,6.2,2.78,7.4,0.8,6.3,6.9,6.6,Fiction,178
Lord of the Rings: The Two Towers,2002,8.4,4.5,4.3,4.8,4.51,9.2,2.5,6.2,0.9,2.3,Fiction,179
Lord of the Rings: Return of the King,2003,8.7,3.38,4.9,1.1,6.87,1.2,9.3,5.5,1.9,7.2,Fiction,210
Moneyball,2011,8.1,4.12,4.4,3.7,2.67,5.4,1.5,6.2,7.8,1.6,Docu-Drama,133
There Will Be Blood,2007,8.4,4.22,5.7,2,4.68,2.3,5.7,1.1,8.3,3.9,Drama,158
The Godfather: Part One,1972,9.1,4.9,3.5,7,4.06,7,2.8,0.9,3.6,0.8,Drama,175
Reservoir Dogs,1992,8.6,2.3,2.7,1.7,4.27,1.4,5.5,2.7,1.2,9.3,Drama,99
The Big Short,2015,8.1,4.66,2.1,8.5,4.59,8.3,3,8.4,5.4,4.9,Docu-Drama,130
Living,2022,6.7,7.1,6.3,8.3,7.35,7.7,7.2,4.9,2,0.5,Drama,102
White Noise,2022,5.9,8.34,8.3,8.4,6.25,3.8,7.3,7.1,1.4,2.6,Comedy,136
She Said,2022,6.4,3.58,4.1,2.8,5.5,1.3,7.3,3.8,2.6,9.4,Drama,129
Bodies Bodies Bodies,2022,5.9,8.46,9.9,6.3,2.4,6.6,0.6,5.5,2.3,4.6,Comedy,95
All My Friends Hate Me,2021,5.6,8.46,7.5,9.9,3.92,1.4,5,3.8,5.5,8.4,Comedy,93
Everything Everywhere All At Once,2022,8.7,5.4,4.6,6.6,3.03,1.7,3.6,8.2,1,2,Comedy,140
The Banshees Of Inisherin,2022,8.2,5.96,8.4,2.3,6.74,3.8,8,4.5,1.2,3.9,Drama,109
Licorice Pizza,2021,8.1,3.36,0.2,8.1,3.84,7.2,2.4,6.7,4,1.9,Drama,133
Lady Bird,2017,7.8,4.54,6.5,1.6,6.15,2.3,7.8,8.9,1.9,9.3,Comedy,94
Widows,2018,7.1,3.18,0.3,7.5,4.07,5.4,3.5,6.2,9.2,1.2,Action,130
Pulp Fiction,1994,8.9,4.98,4.7,5.4,6.74,2.4,8.6,4.7,0.1,7.1,Drama,154
Coco,2017,7.8,4.3,0.7,9.7,6.08,2.3,7.7,8.9,4.7,2,Family,105
Fight Club,1999,8.8,5.64,3,9.6,3.18,0.1,4.5,8.4,7.2,5.7,Drama,139
It's a Wonderful Life,1946,8.5,6,4,9,7.6,4.8,8.8,3.8,1.1,2.5,Family,130
The Intouchables,2011,7.4,4.76,7.2,1.1,7.2,7.2,7.2,2.7,1.7,7.6,Comedy,112
Memento,2000,7.3,1.54,0.3,3.4,4.19,6.5,3.2,2.2,6,4.3,Thriller,113
The Hateful Eight,2015,7.4,5.42,4.7,6.5,7.57,8.2,7.3,5.5,3.5,2.2,Drama,187
Spotlight,2015,7.7,7.6,3.7,6.6,1.6,6.9,0.5,3.2,5.8,0.2,Drama,128
Absolutely Anything,2015,3.7,0.8,3,3.3,3.5,5.5,4.8,8.1,5.1,0.3,Comedy,85
The Martian,2015,6.3,3.1,1.2,5.7,3.1,5.6,5.8,6.2,7.7,4.3,Thriller,144
The Stanford Prison Experiment,2015,7.1,2.3,0.2,7.3,6.1,4.3,1.6,3.2,1.2,1.7,Docu-Drama,122
focus,2015,4.1,1.7,7.5,8.2,2.2,2.6,1.3,8.2,6.1,5.5,Thriller,104
Mad Max Fury Road,2015,7.4,6.9,9.2,6.3,4.4,1.3,6.7,7.3,6,2.3,Action,120
Star Wars: The Phantom Menace,1999,5.2,1.5,5,1.1,3.6,6.5,9.7,6.6,5.6,2.4,Fiction,136
Star Wars: Attack of the Clones,2002,5.3,7.4,2.3,5.6,1.2,3.2,9.3,6.7,8.6,7.8,Fiction,144
Star Wars: Revenge of the Sith,2005,5.7,4,0.5,2.7,7.4,8.9,9.1,7,8.9,9,Fiction,140
Star Wars: A New Hope,1977,7.7,0.6,10,2.6,0.8,2.1,5.5,8.2,4,6.1,Fiction,121
Star Wars: The Empire Strikes Back,1980,8.3,4.3,4,1,2.4,5.4,3.1,8.7,1.4,5.1,Fiction,124
Star Wars: Return of the Jedi,1983,8.1,9,2,4.8,3.4,8.1,7.1,8.6,8,4,Fiction,131
Star Wars: The Force Awakens,2015,7.6,6.1,3.7,0.4,8,5.2,2.7,8.1,3.3,2.4,Fiction,136
Rogue One: A Star Wars Story,2016,7.3,4.4,8.1,8.2,4.6,0.1,7.3,7.9,6.4,3,Fiction,133
Star Wars: The Last Jedi,2017,7.2,8.9,7.8,1.2,3.6,0.6,6.5,6.4,1.6,2.9,Fiction,152
Star Wars: The Rise of Skywalker,2019,7,0.5,4.2,3.3,2.6,7.1,0.4,6.5,5,4.6,Fiction,142
The Man from U.N.C.L.E,2015,3,3.9,2.2,4.5,4.1,0,8.4,5.9,5.6,9.6,Action,116
At Close Range,1986,9.1,8.9,2.5,9.2,5.9,4.6,3.7,0.6,4.4,0.4,Drama,115
Mr. Majestyk,1974,4.4,4.7,0.2,2,9,9.5,4,3.3,7.8,0.7,Action,105
About Last Night,1986,1.5,1.9,7.6,0.3,0.3,3.9,0.8,9.8,0.2,9.8,Comedy,113
Fail-Safe,1964,7.4,7.1,4.5,4.7,8.2,1.7,10,0.8,9.3,5.9,Drama,110
Some Like It Hot,1959,7.2,9.9,8.1,4.6,1.6,0.7,2.5,4.9,5.6,6.2,Comedy,120
Driving Miss Daisy,1989,0.7,4.3,4.9,3.4,1.7,4.6,6.1,4,2.9,7.7,Comedy,100
The Appaloosa,1966,3.3,3.6,8,0.3,7.5,4.8,1.2,1.6,4.6,6.9,Western,98
The Abyss,1989,6.6,3.4,7.7,3.2,3.9,9.9,4.5,5.2,9.9,4.4,Fantasy,138
It Happened Tomorrow,1944,9.8,6.1,8.4,8.1,5.9,4.2,5.4,0.9,0.2,8.9,Comedy,84
It Happened One Night,1934,2.1,6.4,9.7,3.4,8.5,3.4,4.7,0.6,9.3,5.5,Comedy,108
Action Jackson,1988,8.3,8.2,1.9,2.2,0.2,7,9.6,0,6.3,1.1,Crime,97
Farewell to the King,1988,6,4.9,1.8,2,4.8,6.7,2.1,4.1,9.7,7.3,War,107
Goodbye Mr. Chips!,1939,1.4,8.7,9.2,7.3,5,0.9,0.8,8.4,1.9,9.3,Romantic,114
Airplane!,1980,7.3,2.6,7.6,0.4,6.4,7.5,1.9,0.6,8.6,5.7,Comedy,90
Airplane II: The Sequel,1982,6.8,4.5,8.8,5.5,3.6,1.3,0.4,6.2,6.6,7.3,Comedy,84
Big Business,1988,6.9,1.4,1.9,1.2,9.5,7.7,4.2,4.6,6,1.2,Comedy,92
Internal Affairs,1990,2.4,6.7,6.3,1.5,2.5,7.3,9.3,3.7,7.8,6.8,Crime,112
The Notorious Landlady,1962,8.5,3.9,9.2,1.3,5.9,2.4,4.7,0.5,5.6,6.5,Comedy,98
Across the Pacific,1942,0.3,9.4,5.9,8.1,1.6,8.5,1.9,9,5.3,8.7,Spy,97
Agnes of God,1985,0.1,8.1,2.3,10,1,6.4,4,8.5,6.3,2,Drama,98
Air America,1990,8,1.5,5.1,9.9,5.8,8.3,0.8,4.1,9.1,3.1,Adventure,106
The Hanging Tree,1959,9.2,7,0.5,3.7,2.4,3.4,8.3,7,7.7,4.1,Western,100
Her Alibi,1989,5.6,3.1,1.5,7,2.8,6.6,9,2.7,9.1,1.5,Comedy,95
Alice,1990,8.9,8.1,1,7.4,5.6,9.4,0.3,5,4.8,6.6,Comedy,106
Alice Doesn't Live Here Anymore,1974,0.5,9.6,5.1,9,1.4,4.8,4.1,0.6,1.6,5.4,Drama,107
Alien,1979,6.6,7,5.2,5.4,4.9,4.1,4.1,4.1,8,0.4,Fantasy,115
The Hidden,1987,3.5,5.9,5.7,1.8,7.2,2.6,7.1,4.1,1.2,6.7,Fantasy,97
Aliens,1986,4.1,2.3,0.5,0.2,3.9,2.9,8.4,3.8,4.6,8.9,Fantasy,136
Breaking Away,1979,7.7,2.1,5.6,3.9,1.9,3.6,9.2,9.5,9.9,0.2,Comedy,101
Romancing the Stone,1984,3.4,4.6,2.7,1.6,1.8,2.8,6.3,6.1,4.2,1.4,Adventure,105
Run for Cover,1954,6.2,2.9,5.6,6,2.3,0.7,9.3,7.5,4.8,3.9,Western,92
Breathless,1983,2.3,2.3,1.5,1.7,7.2,8.3,7.5,1.3,9.2,2.9,Drama,98
One A.M.,1916,4.6,3.1,8.7,0.1,3.1,0.2,7.1,3.5,10,9.7,Comedy,50
Everybody Wins,1990,1.6,8.1,5.4,5.6,8.5,9.2,0.1,1.7,5.6,8.3,Crime,95
Bonnie Scotland,1935,6.5,9.3,0.7,8.3,6.2,5.3,2.7,5.9,1,7.7,Comedy,80
Jacob's Ladder,1990,8.5,5.5,1.1,6,0.8,2.4,5.9,7.5,1.2,6.9,Drama,107
High Society,1956,5.1,2.1,5.5,8.1,7.3,6,2.4,3,7.9,2.9,Musical,107
Another Woman,1988,6.5,7.7,6.2,4.5,7.1,8.5,7.3,3.8,5.8,5.5,Drama,81
Beneath Planet of the Apes,1970,7.7,5.2,4.7,5.9,4,8.7,7.9,7.2,9.7,7.7,Fantasy,95
Strangers on a Train,1951,8.8,5.6,2.5,1.4,6.1,3.6,6.4,2.9,3.6,6.7,Thriller,96
Always,1989,6.4,1.3,3.8,4.2,5.1,7.6,5.4,3.9,6.9,1.7,Romantic,121
Broken Arrow,1950,2.7,6.5,5,1.3,0.5,2.2,0.6,5.4,8.1,2.2,Western,92
Colorado Territory,1949,8.4,7.8,0.1,6,7.6,6.3,0.3,0.2,8.9,2.5,Western,93
Come and Get It,1936,2.1,2.6,0.8,3.1,0.7,5.3,0.9,2.2,3.6,8.5,Drama,105
Forever Amber,1947,1.7,6.4,7.7,8.6,5.3,1.5,6.4,4.6,4.2,8.6,Adventure,135
Boxcar Bertha,1972,5.3,6,6.7,7.3,3.2,6,5.6,2.8,6.9,9.9,Drama,97
American Gigolo,1980,7.6,3.5,1.5,5.1,6.1,8.2,8.9,1.5,0.4,7,Drama,117
American Graffiti,1973,1.7,7.1,6.3,2.4,2.3,3.1,0.8,2.9,0.5,9.3,Comedy,110
More American Graffiti,1979,7.4,0.7,8.4,1.9,8.4,1,4.6,5.7,9.1,6.4,Comedy,115
An American in Paris,1951,7.8,7.6,5.4,2.3,7.7,2.4,0.4,3.7,9.1,8.8,Musical,112
Torch Song Trilogy,1988,8.6,4.4,6.3,7.2,9.8,7.8,6.6,4.7,0.5,3.9,Drama,115
Hamlet,1991,7.9,9.4,4.9,8.2,0.2,4.1,1.2,5.1,8.5,0.2,Drama,135
Flesh and Blood,1985,0.9,1.7,1.4,2.8,0.7,8.6,8.9,6.8,9.9,9.1,Adventure,123
Anastasia,1956,5.9,7.9,9,9.6,3.5,2,6.8,7.1,5,6.5,Comedy,105
Anatomy of a Murder,1959,1.4,7.8,8.6,8.9,8.3,3.6,1.4,6.3,5.5,8.9,Drama,160
Another 48 hrs,1990,7.5,9.3,0,2.6,8.3,9.3,0.6,9.8,3.3,2.2,Crime,95
The Andromeda Strain,1971,2.4,5.4,4.6,7.4,0,3.3,2.2,4.1,0,9.6,Fantasy,120
Angel Heart,1987,0.9,7.3,7.9,3.4,6.9,1.6,4.7,2.5,0.4,8.6,Thriller,115
Pocketful of Miracles,1961,9.8,8.4,9.1,0.9,8.5,6.4,6,9.3,5.4,1.9,Comedy,136
Black Angel,1946,3.3,4.2,4.4,4.6,0.1,9.8,4.6,4.9,8.2,6.4,Thriller,83
Gaslight,1944,5.4,8.7,7.2,1.4,4,8.4,3.1,6.7,8.1,4.9,Thriller,109
Till the End of Time,1946,8.9,2.8,6,6.6,2.2,7.7,7,3.1,9,5.3,Drama,105
The Lonely Guy,1984,8.9,1.8,9.1,2,7.8,5.3,2.6,3,8.5,5.9,Comedy,86
The Miracle Worker,1962,7,6,8.2,7.1,5.1,9.7,2.2,5.8,4.1,2.1,Drama,107
Anna Karenina,1935,9.4,6.5,9.1,1.1,1.8,0.5,4.5,3.9,4.9,0.3,Drama,95
Blind Date,1987,1.8,2.5,4,8.6,3,4.8,9.9,8.8,4.8,3.3,Comedy,96
"Yours, Mine and Ours",1968,6.1,4.5,4.5,3.9,3.1,7.1,5.7,8.9,6.3,5.8,Comedy,111
Arachnophobia,1990,2.8,2.5,3.7,3.9,7.7,0.7,4.3,2.2,6.2,0.8,Thriller,105
Air Force,1943,9.9,1.8,7.6,4.1,7.5,9.4,3.2,8.1,8.5,8.5,War,124
Arch of Triumph,1948,5.2,6.7,0.2,7,1.7,4.1,3.9,5.6,2,0.8,Drama,120
A Dry White Season,1989,0.5,8.6,3.2,2.9,5.7,3.3,5.9,8.3,4.5,5.1,Drama,107
Lethal Weapon,1987,2.4,7.4,5.6,4.8,4.6,7.1,1.6,1.6,9.8,4.7,Action,106
Lethal Weapon 2,1989,9.5,9.8,8.8,7.9,2.3,3.7,8.7,6.3,3.5,0.6,Action,114
Dark Angel,1990,3.1,3.5,9.6,0.5,5.4,3.5,0.6,5.6,4.4,1.7,Action,91
Meet John Doe,1941,1.3,6.1,6.2,9.1,0.1,0.1,5.5,2.4,8.7,5.3,Comedy,135
Comes a Horseman,1978,3.3,6.4,9.5,7.5,4.8,7.9,2.5,3.3,5.1,6.7,Western,120
Arsenic and Old Lace,1944,5.9,4.4,7.5,1.4,4.5,6.7,5,0.3,5.4,0.9,Comedy,113
Arthur,1981,4.7,8.2,0.3,7.1,4.6,2.1,1.7,6.9,2,3.1,Comedy,97
The Mirror Crack'd,1980,9.8,0.5,0.3,7.2,3,8.8,7.6,6.5,3.5,7.7,Thriller,108
The Killing of Sister George,1968,2.2,6.8,3.2,2.8,2.4,4.8,9.6,7.5,1.6,5.9,Drama,138
The Eiger Sanction,1975,5,1.1,0.8,2.8,4.7,0.8,5.8,2.5,9.7,1.1,Spy,129
The Stone Killer,1973,8.1,5.7,1.3,5.7,5.5,4.9,8,9,6.6,3.1,Action,95
Ace in the Hole,1951,5.5,0.4,0.5,3,6.5,5,6.5,3,4.4,1,Drama,112
True Confessions,1981,0.5,1.5,5.4,2.3,2.6,4.9,8.4,9.1,3.7,5.8,Drama,103
Dead Poets Society,1989,5.1,9,8.9,0.6,2.5,2.8,7.1,4.3,7,0.9,Drama,129
Total Recall,1990,6.9,2.7,6.9,1.1,1.5,8.6,4.3,3.4,8.6,7.6,Fantasy,109
Fatal Attraction,1987,1.1,5.1,6.2,3.5,2.4,7.3,0.8,2.1,6.1,8.4,Drama,120
The Poseidon Adventure,1972,4.5,1.2,3.4,4.2,9.4,6.8,6.7,3.8,4.5,5,Action,118
The Adventures of Huckleberry Finn,1960,4.6,8.4,8.4,7.9,5.7,4.3,0.1,7,9.2,1.4,Adventure,107
Only Angels Have Wings,1939,1.5,9.2,5.4,8.3,7.1,9.7,4.9,2.1,7.9,5.2,Drama,121
Dodge City,1939,8.8,8,5.5,4.1,8,8.1,8.3,8.3,6.9,2.1,Western,104
Macao,1952,4.2,6.2,8.9,10,8,3.9,4.5,3.8,2.4,1.3,Crime,81
Two Mules for Sister Sarah,1970,3.8,2.8,10,3.4,8.3,5,1.4,1.9,9.7,6.6,Western,114
Baby Doll,1956,2.9,5.8,5.9,0.8,1,6.3,4.4,3.2,4.3,6.2,Drama,114
"Kiss Me, Stupid",1964,3.2,9.3,1.4,7.7,0.5,2.3,2.4,2,1,7.9,Comedy,123
Kiss of Death,1947,6.8,3.6,1.2,7.7,2.6,4.4,3.5,6.6,7.9,4,Crime,100
Bad Boys,1983,6.9,5.4,8.2,4.2,0.9,3.2,5.3,4.8,9.5,7,Drama,105
The Whales of August,1987,0,9.2,3.3,6,6.6,8.8,6.4,2.1,5.6,7.8,Comedy,93
Ball of Fire,1941,6.5,9.5,1.4,1.6,0.1,2,2.1,8.9,8.4,4.6,Comedy,111
Dances with Wolves,1990,6.3,1.3,0.4,8.3,6.7,8.5,4,0,7,0.7,Western,180
Spaceballs,1987,10,5.4,6.2,1,2,8.6,2.2,0.8,3.6,3.8,Comedy,97
Bandolero!,1968,9.6,9.9,7.3,2.4,7.2,5.7,7.6,3.6,2.1,9.5,Western,108
Von Richthofen and Brown,1971,3.7,5.5,4.9,2.1,9.7,8.6,6.1,7,4.2,8.5,War,97
Barry Lyndon,1975,8.2,5.7,2.7,2.3,8.2,2.9,9.7,7,9.8,1.1,Drama,184
Knock on any Door,1949,7.6,1.3,4.5,9.2,7.5,9.4,8.4,0.7,9.7,6.6,Action,100
Battleground,1949,10,2.3,9.5,6.3,1.3,4.8,5.9,7.2,0.9,5.3,War,118
Bat* 21,1988,8.4,6.9,8.2,9.9,1.7,8.1,4.9,0.2,9.5,5.9,War,104
Batman,1989,2,0.6,3.8,9.2,4.6,1.3,6.6,9.5,6.2,7.9,Super-hero,124
Midway,1976,9.6,2.9,0.7,5.3,0.9,0.1,9.3,7.4,5.5,4.8,War,132
Beetlejuice,1988,3.1,8.9,4.9,6.8,6.6,8.7,4.7,7.4,5.2,6.3,Fantasy,93
The Marrying Man,1991,9.1,9.4,3.3,9.2,1.7,7.7,5.7,9.8,3.8,3.5,Comedy,117
Pretty in Pink,1986,4.3,2,3.4,9.3,1.1,5.3,1.1,4.5,8.5,9.3,Comedy,96
My Own Private Idaho,1991,7.4,5.7,0.8,8.5,5.4,1.9,6.9,9.5,7.4,8.1,Drama,105
The Song of Bernadette,1943,5,5.4,0.2,1.5,6.9,4.3,1.4,8.2,8.4,5.1,Biography,156
The Green Berets,1968,2.6,7,1.3,3.2,3.3,7.1,7.3,1.9,8.2,1.4,War,138
Targets,1968,5.4,5.5,6,7.1,6.1,1.4,1.4,2.2,7.9,6.3,Drama,90
Human Desire,1954,0.3,0.3,4.7,9.7,6.5,1.9,8.3,5,0.8,8.2,Drama,90
Beverly Hills Cop,1984,6.4,1.1,6.2,6,4.1,9,5.9,1.5,4.1,7.5,Comedy,105
White Christmas,1954,0.6,7.4,6.7,4.5,4.8,1.8,3.1,3.2,6.8,5.1,Musical,90
Big,1988,9.6,0.7,1.3,9.7,0.7,2.9,3.8,7.5,0.5,2.6,Comedy,104
The Big Easy,1986,8.7,7.8,0.1,5.9,1.2,5.1,5.4,9,6.3,1.6,Crime,102
Harry and the Hendersons,1987,4.1,6.9,4.1,7.1,7.1,2.8,7.9,5.4,0.9,9.1,Fantasy,101
"Planes, Trains and Automobiles",1987,1,8.6,8.1,1.8,6.3,1.7,4.9,3,4,5.6,Comedy,95
Bird,1988,3.5,8,8.7,7.4,6.3,4.6,8.1,7.4,3.5,6.5,Biography,160
Birdy,1984,2.7,2.5,1.9,2.8,9.8,7.6,8.1,3.6,7.4,8.4,Drama,120
Black Rain,1989,2.8,9.5,7.3,8.2,5.6,4.4,5.1,1.9,1,3.6,Crime,125
Black Sunday,1976,6.5,7.6,3.6,0.6,3.3,1.1,1.5,9,5.5,5.2,Thriller,140
Blade Runner,1982,0,6.1,3,5.4,1.2,2.3,9.2,6.4,4.7,4.8,Fantasy,124
The Blob,1988,4.5,5.4,9,7.3,2.3,7.7,1.2,2.6,6.9,1.9,Fantasy,95
Blow Out,1981,0.5,2.3,8.1,5.2,1.9,1.4,2.7,8.5,9.6,0,Thriller,107
The Blues Brothers,1980,1.3,8.5,9.1,7,8.9,3.2,0.7,2.7,7.3,8.2,Comedy,127
Bob Roberts,1992,5.4,1.2,3.9,3.4,0.9,7.3,2.1,3.8,1.9,6.2,Drama,100
The Freshman,1989,2.3,8.8,0.6,1.8,4.1,6,5.2,5.7,5.2,9.3,Comedy,102
The Bounty,1984,5.7,4.4,4.1,7.3,1.9,9.6,2.9,3.3,4.4,7.9,Adventure,130
The French Connection,1971,4.4,8.8,3.4,3.1,6.3,8.3,4.5,9.5,5.3,0.9,Crime,104
The French Connection II,1975,6,4.3,3.5,6.1,0.7,5.4,4.7,8.5,4,9.2,Crime,112
Lust for Life,1956,3.5,7.1,1.3,6.7,0.4,5.3,1,5.6,8.3,4,Biography,122
The Bravados,1958,4.1,0.1,4.7,2.5,3,3.6,7.3,8.6,3.1,6.2,Western,98
Body Heat,1981,9.4,0.6,2.8,4,0.7,9.9,4.3,0,6.1,0.4,Thriller,113
Play Misty for Me,1971,6.1,6.1,3.3,5.9,5.7,0.9,8.2,8.4,6,9.9,Thriller,98
Broadway Danny Rose,1984,9,7.5,4.6,6,4.5,6.7,8.9,7.2,1.7,6.3,Comedy,81
Bronco Billy,1980,1.1,3.7,9.6,7,5.2,0.7,1.5,3.5,6.9,1.6,Comedy,119
Brubaker,1980,0.2,5.1,3.6,5.6,7.9,8.7,4.5,4.3,7.1,2.3,Drama,130
The Bad and the Beautiful,1952,4.4,0.7,1.9,5,4.3,7,8.5,3.8,1.1,9.8,Drama,118
To Kill a Mockingbird,1962,7,6.9,2.4,4.9,6.3,7.3,2.8,8,8.8,9.8,Drama,129
Bull Durham,1988,5.2,3.7,9,2.3,6.9,5.4,6.5,2.6,1.3,0.2,Comedy,109
The 'burbs,1989,9.5,8.2,3.3,3.8,7,3.9,8.9,8.2,5.4,1.2,Comedy,103
Butch Cassidy and the Sundance Kid,1968,5.4,9.8,6.7,0.8,4.6,3,3.5,5.9,9.2,1.3,Western,100
You're a Big Boy Now,1966,0.2,1.5,0.2,1.4,9,0.9,1.8,3.8,1.7,7.5,Comedy,96
Once Upon a Time in America,1984,8.6,8.7,6.2,7.5,0,4.3,6.4,3.9,3.6,5.7,Drama,220
Saps at Sea,1940,2.7,6.1,3.4,8.7,2,4.2,7.4,1.2,9.8,0.4,Comedy,57
52 Pick-up,1986,3.8,6,8.6,2.1,8.1,0.7,8.2,6.4,5.4,5.6,Thriller,105
55 Days at Peking,1963,9.4,2.3,3.6,3.6,0,5.7,0.4,3.8,8.4,4.7,Drama,145
Die Hard 2,1990,5.9,9.3,6,1.1,9.6,3.3,3.4,4.6,1,9.5,Action,124
Caboblanco,1979,3.1,0.7,3.6,6.8,8.4,1.5,8,0.4,5.6,0.2,Adventure,100
The Hunt for Red October,1990,7.4,8,5.2,1.4,3.4,7.2,0.1,3,9.6,2.5,Thriller,135
To Catch a Thief,1954,0.6,4.1,5.9,1.4,5,4.6,4.9,7.6,5.3,0.9,Thriller,97
The Chase,1966,1.4,7.8,4.9,1.8,3.2,8.2,0.1,3.1,1.4,1.4,Drama,123
Death Hunt,1981,4.4,5.9,7.7,6.5,8.9,7,2,7.5,2.5,7.1,Adventure,92
Wise Guys,1987,6.8,5.8,1.7,1.5,5.8,3.1,6.4,5.8,10,5.6,Comedy,117
Cadillac Man,1990,2.6,8,4.5,1.5,4,2.8,8.9,2.8,6.2,5.9,Comedy,97
White Palace,1990,1.6,3.2,3.4,6.6,8.8,6.4,6.2,9.9,5.8,1.9,Drama,103
Thunderbolt and Lightfoot,1974,8.1,7.9,9.3,6.7,3.8,5.4,8.1,8.4,0,2.7,Crime,115
California Split,1974,6.3,1.4,8.5,6.7,1.2,3.8,2.8,4.1,4.1,5,Comedy,104
California Suite,1978,9.5,1.8,7.1,10,0.8,4,8,7.8,8.9,4.9,Comedy,103
The Cameraman,1928,7.9,0.9,6.1,4.6,9.8,1.2,1.2,9.3,9.3,0.5,Comedy,70
The Bells of St. Mary,1945,3.4,4.5,7.7,8,1.5,4.2,5.1,5.7,5.6,0.5,Drama,126
Heaven's Gate,1980,8.9,3.3,4,6.6,9.5,1.8,8.7,7.5,3.1,9.3,Western,156
Straw Dogs,1971,8.3,1.8,6.4,9.9,8.1,9.7,4.9,1.3,9.5,7.1,Drama,119
Singin' in the Rain,1952,5.6,2,3,3.2,1.1,4.4,0.2,1.5,1.9,7.2,Musical,102
Has Anybody Seen My Gal?,1952,4.2,8.8,0.8,0.6,5.4,1.1,1.9,6,4.6,9.7,Comedy,89
Captain Blood,1935,7.7,5.3,8.8,9.4,5.1,6.4,6.4,9.1,5.3,3.8,Adventure,119
Captains Corageous,1937,3.5,0.4,7.1,6.9,2.6,4.2,6.9,7,7.6,4.3,Adventure,116
Top Hat,1935,8.2,9.6,0.6,4.1,6,2.9,6.5,2.6,6.3,0,Musical,101
Capricorn One,1978,1.3,0.6,7,5.5,3.4,3.6,6.7,6.8,6.7,2.2,Fantasy,121
Only the Lonely,1991,3.2,7,0.9,5.8,0.9,2.8,1.7,2.7,7.8,6.5,Comedy,105
The Cardinal,1963,7,9.9,9.1,8.3,8.7,6.7,3.8,2.2,4.2,6.5,Drama,130
The Charge of the Light Brigade,1936,3.1,3.4,2.1,4.9,7.8,1,6.4,8.8,6.1,1.7,War,115
Wagon Master,1950,1.4,3,3.5,9.7,0.1,0.5,7.6,3.1,2.4,2.2,Western,86
